Country,salario_promedio,salario_mediano,cantidad_respuestas
Afghanistan,12227.25,6121.0,8
Albania,47973.583333333336,26269.0,12
Algeria,15935.4,6472.0,15
Andorra,208763.75,200125.5,4
Angola,149857.25,9578.0,4
Antigua and Barbuda,1.0,1.0,1
Argentina,46271.1875,40000.0,160
Armenia,25016.363636363636,9076.0,11
Australia,115941.4130052724,97514.0,569
Austria,79477.625,78310.0,280
Azerbaijan,31202.333333333332,29397.0,9
Bahrain,74240.5,74240.5,2
Bangladesh,15520.941666666668,7895.5,120
Barbados,45450.5,45450.5,2
Belarus,58267.3125,46614.5,16
Belgium,84666.2752293578,69609.0,218
Belize,102121.0,102121.0,1
Benin,6816.333333333333,1698.0,3
Bhutan,20361.0,20361.0,2
Bolivia,25214.30769230769,18784.0,13
Bosnia and Herzegovina,51890.47368421053,47000.0,19
Botswana,1277.0,1277.0,1
Brazil,51690.28951486698,27306.0,639
Bulgaria,54613.57594936709,49817.5,158
Burundi,1697.0,1697.0,1
Cambodia,4694.0,1500.0,5
Cameroon,4547.0,1265.5,8
Canada,100143.3825136612,87550.0,915
Chile,39241.25263157895,33930.0,95
China,47847.63247863248,34125.0,117
Colombia,31370.534351145037,20500.0,131
"Congo, Republic of the...",42811.5,42811.5,2
Costa Rica,71422.11111111111,59500.0,18
Croatia,55424.829268292684,46406.0,82
Cuba,71668.875,14041.5,8
Cyprus,91799.04166666667,92812.0,24
Czech Republic,67003.57340720222,60660.0,361
Côte d'Ivoire,75877.2,33966.0,5
Democratic Republic of the Congo,33000.0,30000.0,4
Denmark,106030.4652173913,98678.0,230
Djibouti,5833.0,5833.0,1
Dominican Republic,44179.6,27681.5,20
Ecuador,40952.260869565216,30000.0,23
Egypt,14453.921875,6595.0,64
El Salvador,41800.0,27000.0,9
Estonia,76545.32692307692,69609.0,52
Ethiopia,33087.166666666664,762.0,18
Finland,85162.36125654451,74249.0,191
France,73778.73709834469,63228.0,1027
Georgia,56644.25,53653.5,36
